"Property ID","Property Type","Listing Type","Bedrooms","Reporting Month","Occupancy Rate","Active Listing Nights","Currency","Revenue (USD)","Revenue Potential (USD)","ADR (USD)","Cleaning Fee Total (USD)","Number of Reservations","Reservation Days","Available Days","Blocked Days","Country","State","City","Postal Code","Neighborhood","Metropolitan Statistical Area","Latitude","Longitude","Active","Scraped During Month","Airbnb Property ID","Airbnb Host ID","Vrbo Property ID","Vrbo Host ID","Property Manager","Revenue (Native)","ADR (Native)","Revenue Potential (Native)","Cleaning Fee Total (Native)"
"abnb_1252878130660354562","Apartment","Entire home/apt","2","8/1/2025","0.333333","21","usd","550","811.9","78.57","107","4","7","14","10","Mexico","Yucatan","Merida","","Temozon Norte","","21.0545725","-89.6222151","True","True","1252878130660354562","140617961","","","","10306.32","1472.33","15217.48","2022"
"abnb_1253079354162255036","House","Private room","0","8/1/2025","0","0","usd","0","0","0","0","0","0","31","0","Mexico","Yucatan","Merida","","","","20.9830685","-89.7000979","True","True","1253079354162255036","518660111","","","","0","0","0","0"
"abnb_1253268190689863783","Apartment","Entire home/apt","1","8/1/2025","0.548387","31","usd","1206","1206","70.94","217","9","17","14","0","Mexico","Yucatan","Merida","","Merida Centro Norte","","20.9694365986","-89.6196556292","True","True","1253268190689863783","515054008","4616961","","","22708.53","1335.8","22604.12","4143"
"abnb_1253276215619275665","Apartment","Entire home/apt","2","8/1/2025","0.290323","31","usd","762","762","84.67","143","5","9","22","0","Mexico","Yucatan","Merida","","Merida Centro Norte","","20.9687395729","-89.6181699291","True","True","1253276215619275665","515054008","4616960","","","14342.44","1593.6","14282.2","2753"
"abnb_1253283768275513126","Apartment","Entire home/apt","1","8/1/2025","0.806452","31","usd","1468","1468","58.72","176","7","25","6","0","Mexico","Yucatan","Merida","","Merida Centro Norte","","20.9695195229","-89.6179228686","True","True","1253283768275513126","515054008","4616956","","","27684.01","1107.36","27514.8","3447"
"abnb_1253294336394687007","Apartment","Entire home/apt","1","8/1/2025","0.903226","31","usd","960","960","34.29","28","1","28","3","0","Mexico","Yucatan","Merida","","Merida Centro Norte","","20.9682419174","-89.619715487","True","True","1253294336394687007","515054008","4616963","","","18072.77","645.46","17993.33","644"
"abnb_1253303884407981151","Apartment","Entire home/apt","1","8/1/2025","0.741935","31","usd","1541","1541","67","236","11","23","8","0","Mexico","Yucatan","Merida","","Merida Centro Norte","","20.9699171036","-89.6181543172","True","True","1253303884407981151","515054008","4616962","","","29001.42","1260.93","28883.04","4539"
"abnb_1253312458804254951","Apartment","Entire home/apt","2","8/1/2025","0.62069","29","usd","1529","1634.44","84.94","382","11","18","11","2","Mexico","Yucatan","Merida","","Merida Centro Norte","","20.97024","-89.61932","True","True","1253312458804254951","515054008","4616958","","","28688.21","1593.79","30634.44","7215"
"abnb_1253837070326690961","House","Entire home/apt","1","8/1/2025","0.451613","31","usd","690","690","49.29","34","3","14","17","0","Mexico","Yucatan","Merida","","Merida Centro Norte","","20.97335","-89.6346","True","True","1253837070326690961","653727038","","","","13090.96","935.07","12932.7","788"
"abnb_1257379711325826903","House","Entire home/apt","1","8/1/2025","0.032258","31","usd","160","160","160","35","1","1","30","0","Mexico","Yucatan","Merida","","Merida Centro Norte","","20.9729579913","-89.6203929931","True","True","1257379711325826903","1288063","","","","2999.82","2999.82","2998.89","656"
"abnb_1257525719441492460","House","Entire home/apt","2","8/1/2025","1","23","usd","1101","1483.96","47.87","89","5","23","0","8","Mexico","Yucatan","Merida","","","","21.056859673","-89.6472785792","True","True","1257525719441492460","10663618","","","","20647.43","897.71","27813.94","1722"
"abnb_1257619579194524553","Apartment","Entire home/apt","2","8/1/2025","0.258065","31","usd","553","553","69.13","128","4","8","23","0","Mexico","Yucatan","Merida","","Temozon Norte","","21.0587852","-89.6158845","True","True","1257619579194524553","456030033","","","","10374.3","1296.79","10364.91","2392"
"abnb_1258066551975648049","Bed & Breakfast","Private room","1","8/1/2025","0.806452","31","usd","1705","1705","68.2","0","8","25","6","0","Mexico","Yucatan","Merida","","Merida Centro Norte","","20.9723717","-89.6300021","True","True","1258066551975648049","598681877","","","","32022.55","1280.9","31956.9","0"
"abnb_1258200735669909906","House","Entire home/apt","2","8/1/2025","0.689655","29","usd","968","1034.76","48.4","0","7","20","9","2","Mexico","Yucatan","Merida","","Merida Nord-Oeste Zona 1","","21.0402492388","-89.6437321529","True","True","1258200735669909906","420463792","","","","18185.33","909.27","19394.53","0"
"abnb_1258238157331074942","House","Entire home/apt","3","8/1/2025","0.806452","31","usd","3717","3717","148.68","264","6","25","6","0","Mexico","Yucatan","Merida","","Merida Este","","20.9691278707","-89.607620446","True","True","1258238157331074942","183348099","","","","69947.33","2797.89","69667.92","5258"
"abnb_1258238569311779536","Hotel","Private room","1","8/1/2025","0","0","usd","0","0","0","0","0","0","31","0","Mexico","Yucatan","Merida","","Merida Centro Norte","","20.9912236","-89.6198676","True","True","1258238569311779536","135856554","","","","0","0","0","0"
