"Property ID","Property Type","Listing Type","Bedrooms","Reporting Month","Occupancy Rate","Active Listing Nights","Currency","Revenue (USD)","Revenue Potential (USD)","ADR (USD)","Cleaning Fee Total (USD)","Number of Reservations","Reservation Days","Available Days","Blocked Days","Country","State","City","Postal Code","Neighborhood","Metropolitan Statistical Area","Latitude","Longitude","Active","Scraped During Month","Airbnb Property ID","Airbnb Host ID","Vrbo Property ID","Vrbo Host ID","Property Manager","Revenue (Native)","ADR (Native)","Revenue Potential (Native)","Cleaning Fee Total (Native)"
"abnb_41747252","Tiny house","Entire home/apt","2","5/1/2025","0","0","usd","0","0","0","0","0","0","20","11","Mexico","Yucatan","Merida","","Merida Centro Norte","","20.97918","-89.62149","True","True","41747252","52027362","","","","0","0","0","0"
"abnb_48011398","Vacation home","Entire home/apt","2","5/1/2025","0.263158","19","usd","371","605.32","74.2","72","2","5","14","12","Mexico","Yucatan","Merida","","Merida Centro Sud","","20.94614","-89.63024","True","True","48011398","51616725","","","","7239.04","1447.81","11793.7","1423"
"abnb_48013431","Condominium (condo)","Entire home/apt","1","5/1/2025","0.129032","31","usd","245","245","61.25","68","2","4","27","0","Mexico","Yucatan","Merida","","Merida Norte Zona 1","","21.02573","-89.60391","True","True","48013431","188521866","","","","4817.45","1204.36","4773.47","1362"
"abnb_48013437","Hostel","Shared room","0","5/1/2025","0.129032","31","usd","71","71","17.75","0","3","4","27","0","Mexico","Yucatan","Merida","","Merida Centro Sud","","20.96577","-89.62628","True","True","48013437","113723363","","","","1417.42","354.36","1383.33","0"
"abnb_48017655","Boutique hotel","Private room","1","5/1/2025","0.56","25","usd","685","849.4","48.93","0","8","14","11","6","Mexico","Yucatan","Merida","","Merida Centro Sud","","20.96455","-89.62638","True","True","48017655","113723363","","","","13267.1","947.65","16549.42","0"
"abnb_49442219","Apartment","Entire home/apt","1","5/1/2025","0.258065","31","usd","403","403","50.38","43","4","8","23","0","Mexico","Yucatan","Merida","","Merida Centro Norte","","20.98388","-89.62668","True","True","49442219","91265490","","","HOMi","7856.89","982.11","7851.87","852"
"abnb_49442423","Apartment","Entire home/apt","1","5/1/2025","0.612903","31","usd","562","562","29.58","67","7","19","12","0","Mexico","Yucatan","Merida","","Merida Centro Norte","","20.98171","-89.62673","True","True","49442423","91265490","","","HOMi","11136.82","586.15","10949.76","1493"
"abnb_49447186","Apartment","Entire home/apt","1","5/1/2025","0.225806","31","usd","206","206","29.43","17","4","7","24","0","Mexico","Yucatan","Merida","","Merida Centro Sud","","20.97089","-89.63694","True","True","49447186","331409416","","","Host / Ghandi","4053.47","579.07","4013.61","385"
"abnb_49451534","Apartment","Entire home/apt","2","5/1/2025","0.190476","21","usd","403","594.9","100.75","84","4","4","17","10","Mexico","Yucatan","Merida","","Merida Nord-Oeste Zona 1","","21.04193","-89.63194","True","True","49451534","299388781","","","","7843.68","1960.92","11590.85","1645"
"abnb_49458427","Apartment","Entire home/apt","1","5/1/2025","0.6","25","usd","372","461.28","24.8","40","6","15","10","6","Mexico","Yucatan","Merida","","Merida Centro Norte","","20.9817","-89.6256","True","True","49458427","91265490","","","HOMi","7350.47","490.03","8987.37","817"
"abnb_49458634","Apartment","Entire home/apt","1","5/1/2025","0.807692","26","usd","455","542.51","21.67","48","7","21","5","5","Mexico","Yucatan","Merida","","Merida Centro Norte","","20.98208","-89.6264","True","True","49458634","91265490","","","HOMi","9127.65","434.65","10570.09","1071"
"abnb_49458798","Apartment","Entire home/apt","1","5/1/2025","1","25","usd","535","663.4","21.4","45","7","25","0","6","Mexico","Yucatan","Merida","","Merida Centro Norte","","20.98153","-89.62535","True","True","49458798","91265490","","","HOMi","10693.65","427.75","12925.39","1006"
"abnb_49458955","Apartment","Entire home/apt","1","5/1/2025","0.692308","26","usd","510","608.07","28.33","54","8","18","8","5","Mexico","Yucatan","Merida","","Merida Centro Norte","","20.98334","-89.6249","True","True","49458955","91265490","","","HOMi","10078.49","559.92","11847.27","1155"
"abnb_49459163","Apartment","Entire home/apt","1","5/1/2025","0.6","25","usd","403","499.73","26.87","34","5","15","10","6","Mexico","Yucatan","Merida","","Merida Centro Norte","","20.98239","-89.62694","True","True","49459163","91265490","","","HOMi","7967.27","531.15","9736.55","732"
"abnb_49459381","Apartment","Entire home/apt","1","5/1/2025","0.703704","27","usd","465","533.88","24.47","56","6","19","8","4","Mexico","Yucatan","Merida","","Merida Centro Norte","","20.98231","-89.62584","True","True","49459381","91265490","","","HOMi","9326.53","490.87","10401.85","1276"
"abnb_49464849","House","Entire home/apt","1","5/1/2025","0","26","usd","0","0","0","0","0","0","31","0","Mexico","Yucatan","Merida","","Merida Centro Norte","","20.98767","-89.62948","True","True","49464849","33672780","","","","0","0","0","0"
"abnb_43349555","House","Entire home/apt","6","5/1/2025","0","0","usd","0","0","0","0","0","0","31","0","Mexico","Yucatan","Merida","","Merida Centro Sud","","20.94708","-89.63663","True","True","43349555","108630969","","","","0","0","0","0"
"abnb_43349805","House","Entire home/apt","1","5/1/2025","0.636364","11","usd","819","2308.09","117","70","1","7","4","20","Mexico","Yucatan","Merida","","Merida Centro Norte","","20.97306","-89.62647","True","True","43349805","4676699","","","","16057.23","2293.89","44969.82","1456"
"abnb_43379088","Apartment","Entire home/apt","1","5/1/2025","0","0","usd","0","0","0","0","0","0","31","0","Mexico","Yucatan","Merida","","Temozon Norte","","21.060402","-89.624443","True","True","43379088","142610404","","","","0","0","0","0"
"abnb_978942893372258210","Apartment","Entire home/apt","1","5/1/2025","0","0","usd","0","0","0","0","0","0","31","0","Mexico","Yucatan","Merida","","Merida Centro Norte","","20.97695","-89.61632","True","True","9.78943E+17","536639587","","","","0","0","0","0"
"abnb_979021319290227406","Apartment","Entire home/apt","2","5/1/2025","0","15","usd","0","0","0","0","0","0","31","0","Mexico","Yucatan","Merida","","Merida Centro Norte","","20.98927","-89.63316","True","True","9.79021E+17","331409416","","","Host / Ghandi","0","0","0","0"
"abnb_979131166702059816","Apartment","Entire home/apt","2","5/1/2025","0","20","usd","0","0","0","0","0","0","31","0","Mexico","Yucatan","Merida","","Merida Centro Norte","","20.98227448","-89.62202713","True","True","9.79131E+17","143615522","","","","0","0","0","0"
"abnb_979131361117417359","House","Entire home/apt","1","5/1/2025","0.318182","22","usd","399","562.23","57","21","1","7","15","9","Mexico","Yucatan","Merida","","Merida Centro Norte","","20.98241973","-89.62212905","True","True","9.79131E+17","143615522","","","","7923.58","1131.94","10954.18","525"
"abnb_979681474230607572","House","Entire home/apt","1","5/1/2025","0.482759","29","usd","528","564.41","37.71","84","4","14","15","2","Mexico","Yucatan","Merida","","Merida Centro Norte","","20.9848662","-89.6299952","True","True","9.79681E+17","536955215","","","","10288.85","734.92","10996.7","1631"
"abnb_824975925768820424","House","Entire home/apt","4","5/1/2025","1","21","usd","1296","1542.84","61.71","65","3","21","6","4","Mexico","Yucatan","Merida","","","","21.066939","-89.6473516","True","True","8.24976E+17","499926370","","","","25469.38","1212.83","30060","1566"
"abnb_825451123285711401","House","Entire home/apt","2","5/1/2025","0","0","usd","0","0","0","0","0","0","31","0","Mexico","Yucatan","Merida","","Merida Centro Norte","","20.97476092","-89.61504735","True","True","8.25451E+17","500799077","","","","0","0","0","0"
"abnb_825482946361202706","House","Entire home/apt","3","5/1/2025","0.225806","31","usd","402","402","57.43","60","2","7","24","0","Mexico","Yucatan","Merida","","","","21.07355","-89.66005","True","True","8.25483E+17","500806415","","","","7877.96","1125.42","7832.39","1166"
"vrbo_10788636ha","House","Entire home/apt","5","5/1/2025","0.548387","31","usd","1753","1758","103.12","70","4","17","14","0","Mexico","Yucatan","Merida","","Merida Nord-Este Zona 1","","21.026884","-89.575993","True","True","","","10788636ha","","","34355.79","2020.93","34252.08","1565"
"abnb_931439909299221623","Serviced apartment","Entire home/apt","1","5/1/2025","0","25","usd","0","0","0","0","0","0","31","0","Mexico","Yucatan","Merida","","Merida Nord-Oeste Zona 1","","21.03638","-89.64403","True","True","9.3144E+17","96655382","","","","0","0","0","0"
"abnb_931483273547560817","Apartment","Entire home/apt","2","5/1/2025","0.741935","31","usd","928","928","40.35","0","10","23","8","0","Mexico","Yucatan","Merida","","Merida Centro Norte","","20.98246","-89.61943","True","True","9.31483E+17","111547267","","","Host / Alejandro","17973.06","781.44","18080.73","0"
"abnb_931907106602844675","House","Entire home/apt","3","5/1/2025","0.6","25","usd","844","1046.57","56.27","61","3","15","10","6","Mexico","Yucatan","Merida","","Merida Nord-Oeste Zona 2","","21.01876649","-89.62961923","True","True","9.31907E+17","261622152","","","","16464.6","1097.64","20390.94","1234"
"abnb_931940038288138921","Casa particular (Cuba)","Private room","0","5/1/2025","0.035714","28","usd","28","28","28","8","1","1","30","0","Mexico","Yucatan","Merida","","Merida Oeste","","20.9991438","-89.66254894","True","True","9.3194E+17","453802855","","","","547.23","547.23","545.54","155"
"vrbo_11169883ha","Apartment","Entire home/apt","2","5/1/2025","0","0","usd","0","0","0","0","0","0","31","0","Mexico","Yucatan","Merida","","","","21.070464","-89.667577","True","True","","","11169883ha","","","0","0","0","0"
"vrbo_11198450ha","House","Entire home/apt","1","5/1/2025","0.645161","31","usd","1100","1100","55","0","1","20","11","0","Mexico","Yucatan","Merida","","Merida Centro Sud","","20.955099","-89.633104","True","True","","","11198450ha","","","21432","1071.6","21431.91","0"
"vrbo_11208416ha","House","Entire home/apt","2","5/1/2025","0.290323","31","usd","289","289","32.11","64","3","9","22","0","Mexico","Yucatan","Merida","","Merida Sud Oeste","","20.96844","-89.676479","True","True","","","11208416ha","","","5723.81","635.98","5630.75","1340"
